baseline,budget,dataset,seed,hits,misses,hit_rate,evictions,saved_prefill_ms,miss_cost_ms,p95_ttft_ms,status
lru,0.1,tau_bench,1,166046,485402,0.254888,436917,1328938.25,4609388.75,18.95,ok
lru,0.1,tau_bench,2,166036,485412,0.254872,436927,1328780.96,4609546.04,18.94,ok
lru,0.1,tau_bench,3,165995,485453,0.254809,436968,1328297.59,4610029.41,18.94,ok
lru,0.25,tau_bench,1,166337,485111,0.255334,363899,1332030.65,4606296.34,18.94,ok
lru,0.25,tau_bench,2,166223,485225,0.255159,364013,1330741.12,4607585.88,18.94,ok
lru,0.25,tau_bench,3,166195,485253,0.255116,364041,1330158.81,4608168.19,18.94,ok
lru,0.5,tau_bench,1,166460,484988,0.255523,242563,1332899.9,4605427.09,18.94,ok
lru,0.5,tau_bench,2,166526,484922,0.255624,242497,1332797.63,4605529.37,18.94,ok
lru,0.5,tau_bench,3,166524,484924,0.255621,242499,1332679.99,4605647.0,18.94,ok
lru,1.0,tau_bench,1,166598,484850,0.255735,0,1334395.44,4603931.56,18.94,ok
lru,1.0,tau_bench,2,166598,484850,0.255735,0,1333525.06,4604801.93,18.94,ok
lru,1.0,tau_bench,3,166598,484850,0.255735,0,1333538.23,4604788.76,18.94,ok
gdsf,0.1,tau_bench,1,166096,485352,0.254964,436867,1329730.45,4608596.55,18.95,ok
gdsf,0.1,tau_bench,2,166089,485359,0.254954,436874,1329757.7,4608569.29,18.94,ok
gdsf,0.1,tau_bench,3,166014,485434,0.254838,436949,1328992.16,4609334.84,18.94,ok
gdsf,0.25,tau_bench,1,166301,485147,0.255279,363935,1331887.05,4606439.94,18.94,ok
gdsf,0.25,tau_bench,2,166355,485093,0.255362,363881,1331411.97,4606915.03,18.94,ok
gdsf,0.25,tau_bench,3,166342,485106,0.255342,363894,1331469.11,4606857.89,18.94,ok
gdsf,0.5,tau_bench,1,166498,484950,0.255581,242525,1333439.95,4604887.04,18.94,ok
gdsf,0.5,tau_bench,2,166503,484945,0.255589,242520,1332539.48,4605787.51,18.94,ok
gdsf,0.5,tau_bench,3,166526,484922,0.255624,242497,1332675.22,4605651.77,18.94,ok
gdsf,1.0,tau_bench,1,166598,484850,0.255735,0,1334395.44,4603931.56,18.94,ok
gdsf,1.0,tau_bench,2,166598,484850,0.255735,0,1333525.06,4604801.93,18.94,ok
gdsf,1.0,tau_bench,3,166598,484850,0.255735,0,1333538.23,4604788.76,18.94,ok
sizecost,0.1,tau_bench,1,166007,485441,0.254828,436956,1330614.92,4607712.07,18.94,ok
sizecost,0.1,tau_bench,2,166091,485357,0.254957,436872,1330193.52,4608133.47,18.94,ok
sizecost,0.1,tau_bench,3,165978,485470,0.254783,436985,1329569.16,4608757.83,18.94,ok
sizecost,0.25,tau_bench,1,166248,485200,0.255198,363988,1332865.66,4605461.33,18.94,ok
sizecost,0.25,tau_bench,2,166265,485183,0.255224,363971,1331994.34,4606332.66,18.94,ok
sizecost,0.25,tau_bench,3,166247,485201,0.255196,363989,1331920.51,4606406.48,18.94,ok
sizecost,0.5,tau_bench,1,166467,484981,0.255534,242556,1333842.36,4604484.64,18.94,ok
sizecost,0.5,tau_bench,2,166422,485026,0.255465,242601,1332973.61,4605353.38,18.94,ok
sizecost,0.5,tau_bench,3,166419,485029,0.25546,242604,1333009.46,4605317.53,18.94,ok
sizecost,1.0,tau_bench,1,166598,484850,0.255735,0,1334395.44,4603931.56,18.94,ok
sizecost,1.0,tau_bench,2,166598,484850,0.255735,0,1333525.06,4604801.93,18.94,ok
sizecost,1.0,tau_bench,3,166598,484850,0.255735,0,1333538.23,4604788.76,18.94,ok
apc_lru,0.1,tau_bench,1,166046,485402,0.254888,436933,5938431.75,4609388.75,18.95,ok
apc_lru,0.1,tau_bench,2,166036,485412,0.254872,437152,5938746.48,4609546.04,18.94,ok
apc_lru,0.1,tau_bench,3,165995,485453,0.254809,438275,5938387.31,4610029.41,18.94,ok
apc_lru,0.25,tau_bench,1,166337,485111,0.255334,364279,5938469.06,4606296.34,18.94,ok
apc_lru,0.25,tau_bench,2,166223,485225,0.255159,365311,5938525.06,4607585.88,18.94,ok
apc_lru,0.25,tau_bench,3,166195,485253,0.255116,364253,5938439.99,4608168.19,18.94,ok
apc_lru,0.5,tau_bench,1,166460,484988,0.255523,242746,5938485.31,4605427.09,18.94,ok
apc_lru,0.5,tau_bench,2,166526,484922,0.255624,242655,5938527.13,4605529.37,18.94,ok
apc_lru,0.5,tau_bench,3,166524,484924,0.255621,242707,5938498.57,4605647.0,18.94,ok
apc_lru,1.0,tau_bench,1,166598,484850,0.255735,0,5938538.76,4603931.56,18.94,ok
apc_lru,1.0,tau_bench,2,166598,484850,0.255735,0,5938584.25,4604801.93,18.94,ok
apc_lru,1.0,tau_bench,3,166598,484850,0.255735,0,5938540.18,4604788.76,18.94,ok
belady,0.1,tau_bench,1,166598,484850,0.255735,436365,1334395.44,4603931.56,18.94,ok
belady,0.1,tau_bench,2,166598,484850,0.255735,436365,1333525.06,4604801.93,18.94,ok
belady,0.1,tau_bench,3,166598,484850,0.255735,436365,1333538.23,4604788.76,18.94,ok
