baseline,capacity_gib,concurrency,task_id,seed,domain,hits,misses,hit_rate,evictions,miss_prefill_tokens,miss_prefill_ms,p50_ttft_ms,p95_ttft_ms,resume_hit_rate,status
lru,1,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
lru,1,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
lru,1,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
gdsf,1,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
gdsf,1,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
gdsf,1,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
sizecost,1,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
sizecost,1,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
sizecost,1,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
apc_lru,1,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
apc_lru,1,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
apc_lru,1,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
belady,1,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
belady,1,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
belady,1,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
oracle_cost,1,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
oracle_cost,1,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
oracle_cost,1,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
lru,2,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
lru,2,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
lru,2,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
gdsf,2,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
gdsf,2,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
gdsf,2,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
sizecost,2,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
sizecost,2,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
sizecost,2,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
apc_lru,2,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
apc_lru,2,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
apc_lru,2,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
belady,2,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
