capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,1,no_cache,retail-19,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,13878967.081317678,0.0,239378.10733914375,27338.947504758835,0,70852,0.0,179
1,1,no_cache,airline-32,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,9158401.693122461,0.0,154679.29966002703,37280.009761452675,0,63297,0.0,165
1,1,no_cache,retail-67,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,1440970.283811912,0.0,24661.62371635437,10099.966764450073,0,21356,0.0,116
1,1,no_cache,retail-44,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,5267594.81679555,0.0,82211.85118798167,13786.535829305649,0,50136,0.0,178
1,1,no_cache,retail-86,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,6951620.249534026,0.0,109849.68394041061,18729.646462015808,0,64817,0.0,220
1,1,no_cache,retail-100,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,13450179.442225955,0.0,159509.17254202068,46590.22030234337,0,85961,0.0,204
1,1,no_cache,retail-22,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,2094369.5965362713,0.0,32416.604235768318,12363.179721869528,0,28888,0.0,133
1,1,no_cache,airline-8,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,15862018.003990874,0.0,150455.70534467697,17830.751137807965,0,48619,0.0,154
1,1,no_cache,retail-27,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,7015795.2458150685,0.0,109178.42238675803,24968.174770474434,0,59620,0.0,187
1,1,no_cache,retail-25,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,1818704.2181231081,0.0,38826.995596289635,12065.314650535583,0,23462,0.0,106
1,1,no_cache,airline-45,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,2012755.945891142,0.0,46041.06333106756,14486.52508109808,0,26024,0.0,110
1,1,no_cache,retail-10,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,3803172.616395168,0.0,80172.17206209898,14606.82325065136,0,38101,0.0,138
1,1,no_cache,retail-34,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,7561450.624118559,0.0,114029.62672710419,29664.94295746088,0,58959,0.0,168
1,1,no_cache,retail-57,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,1773575.1516278833,0.0,23435.402870178223,10839.486725628376,0,27993,0.0,148
1,1,no_cache,airline-27,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,4449064.704617485,0.0,115633.52432847023,22450.343996286392,0,38008,0.0,123
1,1,no_cache,retail-50,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,6228305.754778907,0.0,156903.38147990406,16945.311894640326,0,49410,0.0,161
1,1,no_cache,retail-17,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,1813552.0287556574,0.0,26982.647197321057,12137.35355436802,0,25682,0.0,127
1,1,no_cache,airline-16,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,2327239.7299241275,0.0,76913.2571965456,12511.945547536016,0,25013,0.0,102
1,1,no_cache,retail-18,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,5345296.911648475,0.0,111770.21433413029,15093.437723815441,0,47034,0.0,158
1,1,no_cache,airline-6,1170,8262330,9.66,0.0,145060.66962331533,35.808565568667184,0.0,0.0,0,0,0,165,24141901.98366251,0.0,313375.3081820905,52065.12580066919,0,76499,0.0,170
